"Date","Open","High","Low","Close","Change","Change%","Volume('000 shares)"
"2022/01/07","643","646","632","634","-10","-1.55","39847.766"
"2022/01/06","638","646","636","644","-6","-0.92","57490.736"
"2022/01/05","669","669","646","650","-6","-0.91","72505.55"
"2022/01/04","645","656","644","656","25","3.96","90945.643"
"2022/01/03","619","632","618","631","16","2.60","73703.302"
"2021/12/30","619","620","615","615","-1","-0.16","20522.055"
"2021/12/29","615","619","614","616","1","0.16","25604.32"
"2021/12/28","610","615","610","615","9","1.49","35156.339"
"2021/12/27","604","610","604","606","2","0.33","16771.9"
"2021/12/24","606","609","604","604","-2","-0.33","12008.673"
"2021/12/23","607","608","602","606","6","1.00","16910.501"
"2021/12/22","598","601","598","600","3","0.50","10127.887"
"2021/12/21","597","600","595","597","-1","-0.17","17669.559"
"2021/12/20","607","607","598","598","-9","-1.48","22381.761"
"2021/12/17","601","607","599","607","2","0.33","30319.495"
"2021/12/16","605","605","601","605","5","0.83","22151.282"
"2021/12/15","597","601","596","600","1","0.17","22419.04"
"2021/12/14","598","600","597","599","-2","-0.33","22997.961"
"2021/12/13","609","610","601","601","-4","-0.66","17994.933"
"2021/12/10","605","608","602","605","-3","-0.49","11371.659"
"2021/12/09","606","608","602","608","6","1.00","12467.833"
"2021/12/08","614","614","602","602","-5","-0.82","22194.708"
"2021/12/07","602","607","597","607","7","1.17","21105.883"
"2021/12/06","603","609","600","600","-8","-1.32","24474.913"
"2021/12/03","614","614","606","608","-7","-1.14","27571.974"
"2021/12/02","605","615","602","615","15","2.50","48720.976"
"2021/12/01","596","603","594","600","4","0.67","30119.408"
"2021/11/30","597","600","591","596","3","0.51","69160.408"
"2021/11/29","594","598","591","593","-3","-0.50","24160.615"
"2021/11/26","598","601","592","596","-7","-1.16","27882.175"
"2021/11/25","605","607","601","603","0","0.00","14171.433"
"2021/11/24","612","612","602","603","-9","-1.47","22978.524"
"2021/11/23","615","615","611","612","-3","-0.49","20022.52"
"2021/11/22","618","618","615","615","-3","-0.49","23296.854"
"2021/11/19","622","623","617","618","5","0.82","38847.82"
"2021/11/18","613","614","607","613","3","0.49","22933.191"
"2021/11/17","615","615","608","610","0","0.00","21829.653"
"2021/11/16","612","612","608","610","2","0.33","21776.308"
"2021/11/15","609","611","607","608","4","0.66","17140.935"
